term,rank
may also collect,0.12472961248890953
may use information,0.10394134374075793
terms conditions privacy,0.062364806244454764
delivery partner may,0.062364806244454764
terms privacy policy,0.062364806244454764
conditions privacy policy,0.062364806244454764
third party service,0.062364806244454764
access address book,0.062364806244454764
disclose personal information,0.062364806244454764
personal information information,0.062364806244454764
information third parties,0.062364806244454764
card account information,0.062364806244454764
information third party,0.062364806244454764
payment card account,0.062364806244454764
party service providers,0.062364806244454764
transaction initiated platform,0.062364806244454764
order provide advertisements,0.041576537496303176
delivery partners merchants,0.041576537496303176
information provide collected,0.041576537496303176
platform use platform,0.041576537496303176
promotion marketing partners,0.041576537496303176
platform use services,0.041576537496303176
may disclose personal,0.041576537496303176
company third party,0.041576537496303176
defined terms use,0.041576537496303176
terms use applicable,0.041576537496303176
transferred dealt handled,0.041576537496303176
users delivery partners,0.041576537496303176
received stored processed,0.041576537496303176
privacy policy please,0.041576537496303176
may receive information,0.041576537496303176
services may collect,0.041576537496303176
us personal information,0.041576537496303176
transactions initiated platform,0.041576537496303176
processed disclosed transferred,0.041576537496303176
use personal information,0.041576537496303176
company reserves right,0.041576537496303176
share information third,0.041576537496303176
use applicable law,0.041576537496303176
partners merchants defined,0.041576537496303176
marketing partners consultants,0.041576537496303176
faith belief disclosure,0.041576537496303176
partners consultants research,0.041576537496303176
payment service providers,0.041576537496303176
use services platform,0.041576537496303176
partner may also,0.041576537496303176
firms business partners,0.041576537496303176
parties registered platform,0.041576537496303176
privacy policy shall,0.041576537496303176
belief disclosure reasonably,0.041576537496303176
also collect information,0.041576537496303176
good faith belief,0.041576537496303176
merchant delivery partner,0.041576537496303176
research firms business,0.041576537496303176
internet protocol address,0.041576537496303176
collected received stored,0.041576537496303176
access use connection,0.041576537496303176
information give us,0.041576537496303176
personal information share,0.041576537496303176
disclosed transferred dealt,0.041576537496303176
consultants research firms,0.041576537496303176
non personal information,0.041576537496303176
apply information provide,0.041576537496303176
policy apply information,0.041576537496303176
merchants defined terms,0.041576537496303176
stored processed disclosed,0.041576537496303176
visit platform use,0.041576537496303176
information personal otherwise,0.041576537496303176
information collected received,0.041576537496303176
certain types information,0.041576537496303176
disclosure reasonably necessary,0.041576537496303176
writing support dunzo,0.041576537496303176
applicable terms use,0.041576537496303176
information disclosed shall,0.041576537496303176
privacy policy apply,0.041576537496303176
provide collected third,0.020788268748151588
products services sought,0.020788268748151588
provide advertisements goods,0.020788268748151588
provide advertisements services,0.020788268748151588
product service sought,0.020788268748151588
provide collected site,0.020788268748151588
processing delivery applicable,0.020788268748151588
product services may,0.020788268748151588
provide aggregate anonymised,0.020788268748151588
provide additional information,0.020788268748151588
property personal safety,0.020788268748151588
profile picture contact,0.020788268748151588
protocol address operating,0.020788268748151588
promotion marketing purposes,0.020788268748151588
protect company incurring,0.020788268748151588
protect data cannot,0.020788268748151588
protect defend rights,0.020788268748151588
protect personal safety,0.020788268748151588
protect rights privacy,0.020788268748151588
protect rights property,0.020788268748151588
promotional marketing related,0.020788268748151588
promotional emails communications,0.020788268748151588
protect serve better,0.020788268748151588
protocol address browser,0.020788268748151588
protect us error,0.020788268748151588
promote safe service,0.020788268748151588
prominent notice platform,0.020788268748151588
program platform name,0.020788268748151588
property company including,0.020788268748151588
protecting privacy privacy,0.020788268748151588
products services third,0.020788268748151588
protecting unauthorized access,0.020788268748151588
10 company hereby,0.020788268748151588
privacy policy time,0.020788268748151588
processed accordance terms,0.020788268748151588
posts shall comply,0.020788268748151588
privacy information personal,0.020788268748151588
prior pursuing recourse,0.020788268748151588
primarily user authentication,0.020788268748151588
prevent loss misuse,0.020788268748151588
prescriptions similar documents,0.020788268748151588
preferences tracking user,0.020788268748151588
preference settings time,0.020788268748151588
precise location device,0.020788268748151588
practices content third,0.020788268748151588
practice information collected,0.020788268748151588
posts shall publicly,0.020788268748151588
posts purpose discretion,0.020788268748151588
process payments services,0.020788268748151588
posts platform permits,0.020788268748151588
posts platform copies,0.020788268748151588
posts mentioned applicable,0.020788268748151588
posts may remain,0.020788268748151588
posts may copied,0.020788268748151588
posts event posts,0.020788268748151588
posting content violates,0.020788268748151588
post sole opinion,0.020788268748151588
post part post,0.020788268748151588
possession adhere strict,0.020788268748151588
portions privacy policy,0.020788268748151588
privacy policy agree,0.020788268748151588
privacy policy capitalised,0.020788268748151588
privacy policy carefully,0.020788268748151588
privacy policy collection,0.020788268748151588
process payments respect,0.020788268748151588
process payments manage,0.020788268748151588
process may disclose,0.020788268748151588
process inquiries respond,0.020788268748151588
proceeding transaction occur,0.020788268748151588
problems server administer,0.020788268748151588
private limited private,0.020788268748151588
private limited company,0.020788268748151588
privacy privacy policy,0.020788268748151588
privacy practice information,0.020788268748151588
privacy policy users,0.020788268748151588
privacy policy sharing,0.020788268748151588
privacy policy set,0.020788268748151588
privacy policy respond,0.020788268748151588
privacy policy respective,0.020788268748151588
privacy policy reserve,0.020788268748151588
privacy policy regularly,0.020788268748151588
privacy policy provisions,0.020788268748151588
privacy policy incorporated,0.020788268748151588
privacy policy every,0.020788268748151588
privacy policy disclose,0.020788268748151588
privacy policy continued,0.020788268748151588
privacy policy contacting,0.020788268748151588
provide complete support,0.020788268748151588
provided company platform,0.020788268748151588
provide customer support,0.020788268748151588
provide feedback reviews,0.020788268748151588
registered platform may,0.020788268748151588
registered platform including,0.020788268748151588
registered office unit,0.020788268748151588
regarding privacy policy,0.020788268748151588
referred platform initiating,0.020788268748151588
referred personal information,0.020788268748151588
referred company adopted,0.020788268748151588
referral program platform,0.020788268748151588
refer us information,0.020788268748151588
rectify update account,0.020788268748151588
rectification represent warrant,0.020788268748151588
recourse complaints lodged,0.020788268748151588
record required applicable,0.020788268748151588
record keeping company,0.020788268748151588
record calls us,0.020788268748151588
recognize unique cookie,0.020788268748151588
receiving personal information,0.020788268748151588
receiving non essential,0.020788268748151588
receive store certain,0.020788268748151588
receive information third,0.020788268748151588
receive information required,0.020788268748151588
receive information location,0.020788268748151588
receive feedback rating,0.020788268748151588
reasonably necessary respond,0.020788268748151588
reasonably necessary enforce,0.020788268748151588
reasonable steps help,0.020788268748151588
reasonable notice changes,0.020788268748151588
registered users delivery,0.020788268748151588
registering platform accessing,0.020788268748151588
registrations kyc details,0.020788268748151588
remain anonymous us,0.020788268748151588
request writing support,0.020788268748151588
request number click,0.020788268748151588
request merchants selling,0.020788268748151588
request internet protocol,0.020788268748151588
request information internet,0.020788268748151588
reproduce share posts,0.020788268748151588
represent warrant information,0.020788268748151588
reorganization amalgamation restructuring,0.020788268748151588
remove portions privacy,0.020788268748151588
remove delete post,0.020788268748151588
remove contact information,0.020788268748151588
remain viewable archived,0.020788268748151588
relevant customer surveys,0.020788268748151588
regularly changes determine,0.020788268748151588
relationship company internal,0.020788268748151588
relation use services,0.020788268748151588
relation use platform,0.020788268748151588
relation transactions platform,0.020788268748151588
relation platform shall,0.020788268748151588
relating privacy policy,0.020788268748151588
relating posts mentioned,0.020788268748151588
related use platform,0.020788268748151588
related transactions 10,0.020788268748151588
related transaction details,0.020788268748151588
related declarations including,0.020788268748151588
related communications us,0.020788268748151588
reasonable information may,0.020788268748151588
reason including limited,0.020788268748151588
read privacy policy,0.020788268748151588
portion platform discussion,0.020788268748151588
providers purpose fulfilling,0.020788268748151588
