term,rank
personal data,0.5690378049711459
third party,0.2943298991230065
use services,0.2158419260235381
sites services,0.2158419260235381
privacy statement,0.196219932748671
account connection,0.11773195964920259
cookies tracking,0.08829896973690195
share personal,0.08829896973690195
paypal account,0.08829896973690195
tracking technologies,0.08829896973690195
geolocation information,0.0784879730994684
use information,0.0784879730994684
services may,0.0784879730994684
third parties,0.0784879730994684
collect personal,0.0784879730994684
data information,0.0784879730994684
may collect,0.0784879730994684
without paypal,0.06867697646203484
contact us,0.06867697646203484
account platform,0.06867697646203484
social media,0.06867697646203484
checkout without,0.06867697646203484
products services,0.06867697646203484
use cookies,0.06867697646203484
may share,0.06867697646203484
usage data,0.058865979824601296
use sites,0.058865979824601296
account information,0.058865979824601296
account may,0.058865979824601296
choices relating,0.058865979824601296
party service,0.058865979824601296
party account,0.058865979824601296
sites use,0.058865979824601296
service providers,0.058865979824601296
technical usage,0.04905498318716775
visit sites,0.04905498318716775
online services,0.04905498318716775
paypal third,0.04905498318716775
collect information,0.04905498318716775
may use,0.04905498318716775
services including,0.04905498318716775
access sites,0.04905498318716775
privacy practices,0.04905498318716775
party websites,0.04905498318716775
postal address,0.0392439865497342
manage preferences,0.0392439865497342
account third,0.0392439865497342
provide us,0.0392439865497342
telephone number,0.0392439865497342
email address,0.0392439865497342
pay bill,0.0392439865497342
name postal,0.0392439865497342
send request,0.0392439865497342
device information,0.0392439865497342
us may,0.0392439865497342
information use,0.0392439865497342
add value,0.0392439865497342
request money,0.0392439865497342
information including,0.0392439865497342
provide services,0.0392439865497342
information account,0.0392439865497342
account collect,0.0392439865497342
financial institutions,0.0392439865497342
media account,0.0392439865497342
services information,0.0392439865497342
may also,0.0392439865497342
address telephone,0.029432989912300648
accordance privacy,0.029432989912300648
data third,0.029432989912300648
business purposes,0.029432989912300648
statement information,0.029432989912300648
data geolocation,0.029432989912300648
detect prevent,0.029432989912300648
services provide,0.029432989912300648
websites services,0.029432989912300648
age 13,0.029432989912300648
services offered,0.029432989912300648
share information,0.029432989912300648
data may,0.029432989912300648
may manage,0.029432989912300648
number email,0.029432989912300648
services use,0.029432989912300648
use service,0.029432989912300648
applicable laws,0.029432989912300648
connect account,0.029432989912300648
process personal,0.029432989912300648
prevent fraud,0.029432989912300648
offered paypal,0.029432989912300648
account holder,0.029432989912300648
establish account,0.029432989912300648
information provide,0.029432989912300648
account number,0.029432989912300648
required law,0.029432989912300648
provide online,0.029432989912300648
connection third,0.029432989912300648
additional information,0.029432989912300648
paypal services,0.029432989912300648
use personal,0.029432989912300648
account social,0.029432989912300648
services sites,0.029432989912300648
information technical,0.029432989912300648
manage risk,0.029432989912300648
members paypal,0.029432989912300648
information third,0.029432989912300648
retain personal,0.029432989912300648
browser internet,0.0196219932748671
paypal corporate,0.0196219932748671
people may,0.0196219932748671
business partners,0.0196219932748671
depending services,0.0196219932748671
choose engage,0.0196219932748671
paypal xoom,0.0196219932748671
certain services,0.0196219932748671
paypal may,0.0196219932748671
services access,0.0196219932748671
paypal business,0.0196219932748671
legal process,0.0196219932748671
technologies learn,0.0196219932748671
laws regulations,0.0196219932748671
choices may,0.0196219932748671
paypal products,0.0196219932748671
permitted required,0.0196219932748671
terms use,0.0196219932748671
list information,0.0196219932748671
data transferred,0.0196219932748671
child age,0.0196219932748671
data visit,0.0196219932748671
provide location,0.0196219932748671
institutions may,0.0196219932748671
click contact,0.0196219932748671
information associated,0.0196219932748671
connection used,0.0196219932748671
customer support,0.0196219932748671
preferences account,0.0196219932748671
information provided,0.0196219932748671
information personal,0.0196219932748671
information participant,0.0196219932748671
site may,0.0196219932748671
contact list,0.0196219932748671
information others,0.0196219932748671
information necessary,0.0196219932748671
credit card,0.0196219932748671
information means,0.0196219932748671
information information,0.0196219932748671
personalized services,0.0196219932748671
create account,0.0196219932748671
information funding,0.0196219932748671
services unaffiliated,0.0196219932748671
share third,0.0196219932748671
information following,0.0196219932748671
privacy choices,0.0196219932748671
privacy notice,0.0196219932748671
information directly,0.0196219932748671
information collect,0.0196219932748671
information device,0.0196219932748671
information date,0.0196219932748671
corporate family,0.0196219932748671
processing transactions,0.0196219932748671
connection paypal,0.0196219932748671
services request,0.0196219932748671
information sites,0.0196219932748671
collect additional,0.0196219932748671
data paypal,0.0196219932748671
data necessary,0.0196219932748671
ip address,0.0196219932748671
data means,0.0196219932748671
data maintain,0.0196219932748671
collection use,0.0196219932748671
platform social,0.0196219932748671
data include,0.0196219932748671
statement personal,0.0196219932748671
statement may,0.0196219932748671
services paypal,0.0196219932748671
instructions prompts,0.0196219932748671
statement cookies,0.0196219932748671
companies provide,0.0196219932748671
data collect,0.0196219932748671
complete transaction,0.0196219932748671
services products,0.0196219932748671
comply applicable,0.0196219932748671
comply law,0.0196219932748671
information transaction,0.0196219932748671
connecting others,0.0196219932748671
connection account,0.0196219932748671
someone else,0.0196219932748671
data account,0.0196219932748671
pay request,0.0196219932748671
based account,0.0196219932748671
described privacy,0.0196219932748671
security measures,0.0196219932748671
also share,0.0196219932748671
questions account,0.0196219932748671
may opt,0.0196219932748671
merchants service,0.0196219932748671
push notifications,0.0196219932748671
